Gila Hands Arcology,毒蜥爪生态屋
Levy University,利维大学
Server Diagnostics,服务器诊断学
Bastion,棱堡
Datapike,数据关卡
Rielle "Kit" Peddler: Transhuman,芮尔·“姬特”·佩德拉：超凡入圣
The Professor: Keeper of Knowledge,教授：知识守护者
Exile: Streethawk,流亡者：街头猎鹰
Escher,埃舍尔
Exploratory Romp,探险嬉戏
Freelance Coding Contract,自由人编码合约
Scavenge,拾荒
Levy AR Lab Access,接入利维前景实验室
Monolith,巨岩
Feedback Filter,反馈式过滤器
Clone Chip,克隆芯片
Omni-drive,全能驱动器
Atman,梵灵
Cloak,斗篷
Dagger,匕首
Chakana,印加十字符
Cyber-Cypher,赛博密码集
Paricia,帕瑞西亚
Self-modifying Code,自修正代码
Sahasrara,头顶轮
Inti,印缇
Professional Contacts,专家联系人
Borrowed Satellite,借用卫星
Ice Analyzer,防火墙分析器
Dirty Laundry,肮脏内幕
Daily Casts,每日播报
Same Old Thing,一如既往
The Source,线人
Frame Job,诬陷
Pawn,兵
Rook,车
Hostage,人质
Gorman Drip v1,戈尔曼水滴V1
Lockpick,开锁器
False Echo,虚假回声
Motivation,动机
John Masanori,约翰·正德
Project Ares,阿瑞斯计划
NEXT Bronze,次级青铜
Celebrity Gift,名流的馈赠
Himitsu-Bako,奥秘箱
Character Assassination,人格谋杀
Jackson Howard,杰克逊·霍华德
Invasion of Privacy,侵犯隐私
Geothermal Fracking,地热液压
Swarm,群集
Cyberdex Trial,赛博杀毒剂试用
Grim,犬灵
Bishop,象
Scheherazade,山鲁佐德
Hard at Work,辛勤工作
Recon,侦查
Copycat,拷贝者
Leviathan,利维坦
Eureka!,有了！
Record Reconstructor,记录重现仪
Prepaid VoicePAD,预付费通话平板
Wotan,奥丁
Hellion Alpha Test,恶狼阿尔法测试
Clone Retirement,克隆体退役
Swordsman,剑客
Shipment from SanSan,圣加州的货物
Muckraker,揭发者
The Cleaners,清除者
Elizabeth Mills,伊丽莎白·米尔斯
Off the Grid,隔绝网络
Profiteering,暴利
Restructure,重建
Reina Roja: Freedom Fighter,雷娜·罗娅：自由战士
Deep Red,深红
Knight,马
Running Interference,运行干扰
Expert Schedule Analyzer,专业计划分析者
Grifter,骗徒
Torch,火炬
Woman in the Red Dress,红衣女子
Raymond Flint,雷蒙德·弗林特
Isabel McGuire,伊莎贝尔·麦古尼
Hudson 1.0,哈德森1.0
Accelerated Diagnostics,加速诊断
Unorthodox Predictions,异法占卜
Sundew,茅膏菜
City Surveillance,城际监视系统
Snoop,窥视者
Ireress,国事委局
Power Shutdown,动力中断
Paper Wall,纸墙
Interns,实习生
Keyhole,锁孔
Activist Support,激进者的援助
Lawyer Up,洗脱罪名
Leverage,施压手段
Garrote,绞刑
LLDS Processor,LLDS处理器
Sharpshooter,神枪手
Capstone,拱顶石
Starlight Crusade Funding,星光圣教团基金
Rex Campaign,雷克斯营销计划
Fenris,芬里斯
Panic Button,应急按钮
Shock!,电击！
Tsurugi,神剑
TGTBT,免费的午餐
Sweeps Week,收视黄金周
RSVP,急盼回复
Curtain Wall,幕墙
Punitive Counterstrike,强硬反击
Veterans Program,退伍军人计划
Quest Completed,任务达成
Hemorrhage,出血症
Tallie Perrault,塔莉·贝洛特
Executive Wiretaps,高管窃听器
Blackguard,黑暗卫士
CyberSolutions Mem Chip,赛博方案内存芯片
Alpha,阿尔法
Omega,欧米伽
Blackmail,勒索
Blue Level Clearance,蓝色许可
Strongbox,保险箱
Toshiyuki Sakai,酒井俊之
Yagura,矢仓
Restoring Face,挽回颜面
Market Research,市场研究
Wraparound,环绕筒
GRNDL: Power Unleashed,地新研发所：能源无限
Vulcan Coverup,焚烧掩盖
GRNDL Refinery,地新研发所冶炼厂
Subliminal Messaging,潜意识信号
Singularity,奇点
Queen's Gambit,皇后开局
Dyson Fractal Generator,戴森碎片激生器
Silencer,消音器
Savoir-faire,应变者
Fall Guy,替罪羊
Power Nap,日间小憩
Paintbrush,画笔
Lucky Find,幸运发现
Gyri Labyrinth,脑回迷宫
Reclamation Order,回收指令
Broadcast Square,传媒广场
Corporate Shuffle,公司洗牌
Caprice Nisei,柯瑞丝·次代
Shinobi,忍法
Marker,标记
Hive,蜂巢
Witness Tampering,骚扰证人
NAPD Contract,新洛杉矶警察局合约
Quandary,困惑
Harmony Medtech: Biomedical Pioneer,和谐医学院：生命医学的先锋
Nisei Division: The Next Generation,次代部门：全新一代
Tennin Institute: The Secrets Within,天人学会：内藏玄机
House of Knives,利刃屋
Medical Breakthrough,医学突破
Philotic Entanglement,核心微粒纠缠技术
The Future Perfect,未来完人
Chairman Hiro,宏社长
Mental Health Clinic,心理健康诊所
Psychic Field,精神领域
Shi.Kyū,四.九
Tenma Line,天马生产线
Cerebral Cast,脑层映射
Medical Research Fundraiser,医学研究筹资宴会
Mushin No Shin,无心之心
Inazuma,稻妻
Komainu,狛犬
Pup,幼犬
Shiro,城
Susanoo-no-Mikoto,须佐之男
NeoTokyo Grid,新东京城际网阵
Tori Hanzō,半藏冬莉
Plan B,备用计划
Guard,门卫
Rainbow,彩虹
Diversified Portfolio,多元化投资
Fast Track,快速流程
Iain Stirling: Retired Spook,伊恩·斯特林：退役间谍
Ken "Express" Tenma: Disappeared Clone,肯·“快车”·天马：失踪的克隆体
Silhouette: Stealth Operative,侧影：隐形侦探
Calling in Favors,召集支援
Early Bird,先拔头筹
Express Delivery,特快专递
Feint,佯攻
Legwork,外勤
Planned Assault,预谋突袭
Logos,圣言
Public Terminal,公用终端
Unregistered S&W '35,未登记的.35 S&W手枪
Window,视窗
Alias,化名
Breach,裂口
Bug,虫子
Gingerbread,姜饼
Grappling Hook,爪钩
Passport,通行证
Push Your Luck,豪赌一把
Security Testing,安全测试
Theophilius Bagbiter,西奥菲勒·贝格拜特
Tri-maf Contact,三和党联系人
Mass Install,集群安装
Q-Coherence Chip,量子相干芯片
Overmind,主脑
Oracle May,梅先知
Donut Taganes,多奈特·泰格尼斯
Domestic Sleepers,家政型潜伏特工
NEXT Silver,次级白银
Lotus Field,莲花田
Mutate,变异
Near-Earth Hub: Broadcast Center,近地枢纽：广播中心
Primary Transmission Dish,初级传输天线
Midway Station Grid,中途站网阵
The Root,根基
Taurus,金牛座
Mother Goddess,母神
Galahad,加拉哈德
Bad Times,难关
Cyber Threat,网络威胁
Lamprey,七腮鳗
Paper Tripping,改头换面
Power Tap,电力分接
Nasir Meidan: Cyber Explorer,纳西尔·梅丹：网络探险家
Social Engineering,社会工程
Leprechaun,小矮妖
Eden Shard,伊甸园碎片
The Foundry: Refining the Process,铸造工厂：精炼流程
Enhanced Login Protocol,强化版登录协议
Heinlein Grid,海因莱因网阵
Encrypted Portals,加密门户
Cerebral Static,脑静态化
Targeted Marketing,定向营销
Information Overload,信息超载
Paywall Implementation,启用付费墙
Sealed Vault,密封的金库
Eden Fragment,伊甸园裂片
Lag Time,延迟时间
Will-o'-the-Wisp,鬼火
D4v1d,大5A
Scrubbed,清洗
Three Steps Ahead,三步领先
Unscheduled Maintenance,非计划维护
Cache,贮藏区
Net Celebrity,网络名人
LLDS Energy Regulator,LLDS能量调节器
Ghost Runner,潜袭者幽灵
IQ,智商
Eliza's Toybox,伊莱莎的寻欢所
Kitsune,狐女
Port Anson Grid,安森港网阵
The News Now Hour,整点新闻速递
Manhunt,搜捕
Wendigo,温迪戈
Crisium Grid,危海网阵
Chronos Project,柯罗诺斯计划
Shattered Remains,破碎残骸
Lancelot,兰斯洛特
Quetzal: Free Spirit,绿咬鹃：不羁灵魂
BlacKat,黑猫
Duggar's,道阁酒吧
Box-E,E箱
The Supplier,供应商
Refractor,折射镜
Order of Sol,玄晖社
Hades Shard,冥府碎片
Rachel Beckman,瑞秋·贝克曼
Architect,建筑师
Peak Efficiency,峰值效率
Labyrinthine Servers,服务器迷阵
Ashigaru,足轻
Mamba,曼巴蛇
Reversed Accounts,撤销账户
Universal Connectivity Fee,通用连接费
Blue Sun: Powering the Future,青日公司：助力未来
Changeling,换生灵
Reuse,再利用
Hades Fragment,冥府裂片
Docklands Crackdown,镇压码头区
Inject,注射
Origami,折纸
Fester,脓疮
Autoscripter,自动脚本仪
Switchblade,弹簧刀
Trade-In,折价交易
Astrolabe,星象仪
Angel Arena,天使竞技场
Bifrost Array,彩虹桥阵列
Sagittarius,人马座
Hostile Infrastructure,敌意架构
Gemini,双子座
License Acquisition,获取许可
Daily Business Show,每日商业秀
Superior Cyberwalls,优等赛博墙
Executive Boot Camp,主管训练营
Lycan,狼人
Snatch and Grab,掳掠
Merlin,梅林
Shell Corporation,空壳公司
Ekomind,反射脑
Cerberus "Cuj.0" H3,三头犬“古卓”H3
Leela Patel: Trained Pragmatist,莉拉·帕特尔：受训实用派
Cerberus "Rex" H2,三头犬“雷克斯”H2
Zona Sul Shipping,南区快运
Cybsoft MacroDrive,数位体宏驱动器
Cerberus "Lady" H1,三头犬“淑女”H1
Utopia Shard,乌托邦碎片
Helium-3 Deposit,氦-3仓储
Errand Boy,役童
IT Department,信息技术部
Markus 1.0,马库斯1.0
Industrial Genomics: Growing Solutions,基因产业园：培育对策
Turtlebacks,龟甲
Shoot the Moon,孤月一掷
Troll,巨魔
Virgo,处女座
Utopia Fragment,乌托邦裂片
Excalibur,王者之剑
Self-destruct,自爆装置
Incubator,孵化器
Ixodidae,硬蜱
Code Siphon,代码虹吸
Collective Consciousness,集体意识
Sage,圣贤
Bribery,行贿
Au Revoir,后会有期
Earthrise Hotel,地出酒店
Argus Security: Protection Guaranteed,阿戈斯防卫所：安全无忧
Gagarin Deep Space: Expanding the Horizon,加加林深空：开阔视界
Titan Transnational: Investing In Your Future,泰坦国际：投资你的未来
Firmware Updates,固件更新
Glenn Station,格伦站
Government Takeover,政府接管
High-Risk Investment,高风险投资
Constellation Protocol,星群协议
Mark Yale,马克·耶鲁
Space Camp,太空训练营
The Board,董事会
Asteroid Belt,小行星带
Wormhole,虫洞
Nebula,星云
Orion,猎户座
Builder,建造者
Checkpoint,检查点
Fire Wall,火墙
Searchlight,探照灯
Housekeeping,清空房屋
Patch,补丁
Traffic Accident,交通事故
Satellite Grid,卫星网阵
The Twins,姊妹花
Sub Boost,子进程助推
Dedicated Technician Team,专属技工组
Cyberdex Virus Suite,赛博杀毒剂套装
Edward Kim: Humanity's Hammer,爱德华·金：人性之锤
MaxX: Maximum Punk Rock,麦斯X：极度朋克摇滚
Valencia Estevez: The Angel of Cayambe,瓦伦西娅·埃斯特韦兹：卡扬贝天使
Amped Up,嗑药提神
I've Had Worse,这还不算惨
Itinerant Protesters,流动示威团
Showing Off,卖弄
Wanton Destruction,恣意破环
Day Job,本职工作
Forked,叉穿
Knifed,切开
Spooned,舀起
Eater,食客
Gravedigger,掘墓者
Hivemind,蜂巢智能
Progenitor,元祖
Archives Interface,档案库接口
Chop Bot 3000,劈砍机械虫3000
MemStrips,内存条
Vigil,夜祷者
Human First,人类至上组织
Investigative Journalism,调查性报道
Sacrificial Clone,垫背克隆体
Stim Dealer,兴奋剂商贩
Virus Breeding Ground,病毒繁育地
Uninstall,卸载
Qianju PT,千驹PT
Data Folding,数据折叠
Clot,血块
Paige Piper,佩姬·派珀
Adjusted Chronotype,调正时型
Spike,长钉
Enhanced Vision,强化视觉
Gene Conditioning Shoppe,基因整修专柜
Synthetic Blood,合成血液
Traffic Jam,交通阻塞
Symmetrical Visage,匀称容貌
Brain-Taping Warehouse,脑录仓储
NEXT Gold,次级黄金
Jinteki Biotech: Life Imagined,人间生物科技：享你所想
Genetic Resequencing,基因重测序
Cortex Lock,皮质锁
Valley Grid,生科谷网阵
Bandwidth,带宽
Predictive Algorithm,预测算法
Capital Investors,资本投资人
Negotiator,谈判者
Tech Startup,科技创业
Hacktivist Meeting,激进黑客集会
Off-Campus Apartment,校外公寓
Career Fair,招聘会
Dorm Computer,寝室电脑
Hayley Kaplan: Universal Scholar,海莉·开普兰：宇宙学才
Game Day,比赛日
Comet,彗星
Study Guide,学习指南
London Library,伦敦图书馆
Tyson Observatory,泰森天文台
Beach Party,海滩派对
Research Grant,科研经费
Turing,图灵
Crick,克里克
Recruiting Trip,物色人才
Blacklist,黑名单
Gutenberg,古腾堡
Student Loans,助学贷款
Meru Mati,梅鲁·马蒂
Breaker Bay Grid,碎浪湾网阵
Immolation Script,祭品脚本
Skulljack,颅骨接口
Turntable,转机
Chrome Parlor,铬金改造院
Titanium Ribs,钛金肋骨
Crowbar,撬棍
Net-Ready Eyes,网备视眼
Analog Dreamers,模拟梦想家
Brain Cage,护脑颅盔
Cybernetics Division: Humanity Upgraded,控制论部门：强化人类
Self-Destruct Chips,自爆芯片
Lab Dog,实验室犬
Oaktown Grid,奥克敦网阵
Ryon Knight,赖恩·耐特
Clairvoyant Monitor,慧眼监控器
Lockdown,禁闭
Little Engine,小火车
Oaktown Renovation,革新奥克敦
Corporate Town,公司城
Quicksand,流沙
Faust,浮士德
Street Peddler,街头小贩
Armand "Geist" Walker: Tech Lord,阿曼德·“游魂”·沃克：科技之王
Drive By,驾车扫荡
Forger,伪造者
Shiv,尖刃
Gang Sign,帮派标志
Muertos Gang Member,亡灵帮成员
Chameleon,变色龙
Hyperdriver,超驱动
Test Ground,试验场
Defective Brainchips,残次脑芯片
Allele Repression,等位基因抑制
Marcus Batty,马可斯·巴蒂
Exposé,揭露报道
Pachinko,扒金宫
Underway Renovation,革新暗底区
Contract Killer,职业杀手
Spiderweb,蜘蛛网
Underway Grid,暗底区网阵
Trope,桥段
Spoilers,剧透
Drug Dealer,毒贩
Rolodex,名片夹
Fan Site,粉丝网站
Film Critic,影评家
Paparazzi,狗仔队
Ronald Five,罗纳德·伍
Enforcer 1.0,执法者1.0
It's a Trap!,这是个陷阱！
An Offer You Can't Refuse,难拒之邀
Haarpsichord Studios: Entertainment Unleashed,箭琴影业：娱乐无限
Award Bait,冲奖作品
Explode-a-palooza,爆炸狂欢
Early Premiere,提前首映
Casting Call,试镜选角
Old Hollywood Grid,老莱坞网阵
Hollywood Renovation,革新好莱坞
Back Channels,秘密渠道
Vanity Project,形象工程
Power to the People,还能于民
Surfer,冲浪者
DDoS,DDoS
Laramy Fisk: Savvy Investor,拉瑞米·费斯克：精明投资人
Fisk Investment Seminar,费斯克投资研讨会
Bookmark,书签
DaVinci,达芬奇
Wireless Net Pavilion,无线网络馆
Cybernetics Court,控制论展区
Team Sponsorship,团队赞助
Chronos Protocol: Selective Mind-mapping,柯罗诺斯协议：选择性的心智图
Ancestral Imager,祖先成像
Genetics Pavilion,基因学馆
Franchise City,特许商城
Product Placement,植入式广告
Worlds Plaza,众世广场
Public Support,公众支持
Tour Guide,导游
Expo Grid,世博园网阵
The Future is Now,未来就在眼前
"SYNC: Everything, Everywhere",信网同步：随事随地
New Angeles Sol: Your News,新洛杉矶索尔社：你的新闻
Spark Agency: Worldswide Reach,火花广告：遍及天下
15 Minutes,15分钟
Improved Tracers,改进版追踪者
Rebranding Team,品牌重塑组
Quantum Predictive Model,量子预测模型
Lily Lockwell,莉莉·洛克威尔
News Team,新闻组
Shannon Claire,香侬·克莱尔
Victoria Jenkins,维多利亚·詹金斯
Reality Threedee,现实三维影像
Archangel,大天使
News Hound,新闻猎犬
Resistor,电阻器
Special Offer,特别优惠
TL;DR,太长；不看
Turnpike,收费高速
24/7 News Cycle,24/7新闻循环
Ad Blitz,广告闪电战
Media Blitz,媒体闪电战
The All-Seeing I,全视之掩
Surveillance Sweep,侦查扫描
Keegan Lane,基冈·雷恩
Rutherford Grid,卢瑟福网阵
Global Food Initiative,全球食品新倡议
Launch Campaign,升空营销计划
Assassin,刺客
Apex: Invasive Predator,尖峰：侵袭掠食者
Apocalypse,大灾变
Prey,攫食
Heartbeat,心跳
Endless Hunger,无尽饥欲
Harbinger,先驱
Hunting Grounds,猎场
Wasteland,荒地
Adam: Compulsive Hacker,亚当：强迫性黑客
Independent Thinking,独立思考
Brain Chip,脑芯片
Multithreader,多线程体
Always Be Running,始终运行
Dr. Lovegood,好善博士
Neutralize All Threats,消除威胁
Safety First,安全第一
Sunny Lebeau: Security Specialist,桑妮·勒博：安全专员
Security Chip,安全芯片
Security Nexus,安全联结点
GS Striker M1,GS打击者M1
GS Shrike M2,GS百舌鸟M2
GS Sherman M3,GS谢尔曼M3
Globalsec Security Clearance,全球保卫组安全许可
Jak Sinclair,贾克·辛克莱
Employee Strike,雇员罢工
Windfall,飞来横财
Technical Writer,技术作家
Run Amok,横冲直撞
Ramujan-reliant 550 BMI,拉姆万金550BMI
Street Magic,街头魔术
High-Stakes Job,高风险工作
Mongoose,猫鼬
Jesminder Sareen: Girl Behind the Curtain,杰斯敏德·萨林：幕后女孩
Maya,摩耶
Panchatantra,五卷书
Artist Colony,艺术家庄园
Chatterjee University,查特吉大学
Advanced Concept Hopper,超前概念飞跃车
Vikram 1.0,维克拉姆1.0
Heritage Committee,遗产委员会
Mumbad City Grid,孟巴德城际网阵
Kala Ghoda Real TV,卡拉哥达实景秀
Interrupt 0,中断0
Dedication Ceremony,落成典礼
Mumba Temple,孟巴神庙
Museum of History,历史博物馆
EMP Device,电磁脉冲装置
Diwan,迪旺
CBI Raid,中央调查局突查
Tech Trader,技术商人
NetChip,网络芯片
Corporate Scandal,公司丑闻
Populist Rally,民粹主义集会
Advanced Assembly Lines,高级装配线
Lakshmi Smartfabrics,吉祥天女智能面料
Product Recall,产品召回
Pālanā Foods: Sustainable Growth,帕拉纳食品：可持续成长
Pālanā Agroplex,帕拉纳农业复合体
Harvester,收割者
Remote Data Farm,远程数据储存场
Disposable HQ,即弃总部
New Construction,新建工程
Mumbad Construction Co.,孟巴德建设公司
Corporate Sales Team,公司销售组
PAD Factory,掌上面板工厂
Political Graffiti,政治涂鸦
Nero Severn: Information Broker,尼禄·塞文：信息经纪人
Reflection,映思镜
Spy Camera,间谍相机
Political Operative,助选员
Sadyojata,瞬生
"""Freedom Through Equality""",“平等是自由之路”
Akshara Sareen,阿刹拉·萨林
Councilman,地方议员
Voting Machine Initiative,投票机新倡议
Clone Suffrage Movement,克隆体参政运动
Bio-Ethics Association,生命伦理学协会
Political Dealings,政治交易
"""Clones are not People""",“克隆体不是人类”
Sensie Actors Union,复感影星联合会
Commercial Bankers Group,商业银行家团体
Mumbad City Hall,孟巴德市政厅
Bailiff,执达吏
Surat City Grid,苏拉特城际网阵
Making an Entrance,闪亮登场
Salsette Slums,撒尔塞特贫民窟
Exclusive Party,高档宴会
Vamadeva,喜天
Brahman,梵天
Patron,庇护人
Sports Hopper,竞速飞跃车
Bazaar,巴扎
Personality Profiles,人格剖析
Jeeves Model Bioroids,吉夫斯型生化人
Raman Rai,拉曼·雷
Upayoga,行部
Aryabhata Tech,阿耶波多科技
Salem's Hospitality,塞勒姆的款待
Executive Search Firm,猎头公司
Indian Union Stock Exchange,印度联盟证券交易所
Cobra,眼镜蛇
Localized Product Line,本地化生产线
Mumbad Virtual Tour,孟巴德虚拟之旅
The Noble Path,圣道
Emptied Mind,空无心智
Information Sifting,信息筛选
Out of the Ashes,烬中再起
Liberated Chela,自由信徒
Temple of the Liberated Mind,自由心智之殿
Rebirth,重生
Guru Davinder,古鲁达温德
The Turning Wheel,转轮
Brainstorm,头脑风暴
Ravana 1.0,罗波那1.0
Dedicated Neural Net,专属神经网络
Chetana,思
Puppet Master,傀儡主人
Waiver,弃权声明
Exchange of Information,交换信息
Red Tape,繁文缛节
Consulting Visit,上门商议
Vanilla,香草
Fear the Masses,群众可畏
Aghora,无惧
Bhagat,巴格特
The Black File,黑文件
The Price of Freedom,自由的代价
Ankusa,金刚钩
Rigged Results,操纵结果
Magnet,磁铁
Lateral Growth,横向发展
